"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE11100120100001234041";"02.09.24";"02.09.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Arzt Rechnung Allgemeine Untersuchung";"DE45600500000432123045";"00000000";"-491,10";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.09.24";"02.09.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Amazon Bestellung 12348";"DE45600500000432123045";"00000000";"-47,10";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.09.24";"02.09.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Gehalt Sept";"DE45600500000432123045";"00000000";"2967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.09.24";"02.09.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Miete Wohnung Bamberg";"DE45600500000432123045";"00000000";"-967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Amazon Retoure 12345";"DE45600500000432123045";"00000000";"103,40";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Tanken";"DE45600500000432123045";"00000000";"-61,30";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"";"Favorite Pizzaria Berlin";"EC 12345678 120234543212P01 ";"";"";"";"";"";"";"";"0000000000";"0";"-27,40";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Gasthaus zum Gockl";"DE45600500000432123045";"00000000";"-51,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Apotheke Stuttgart";"DE45600500000432123045";"00000000";"-22,10";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Bausparer Haus";"DE45600500000432123045";"00000000";"-250,00";"EUR";"Umsatz gebucht"
